video_gameLabel,Entities,genre,platform,gameModes,inputDevice
Star Wars: The Empire Strikes Back,Q54329,action game; action-adventure game,Nintendo Entertainment System; Game Boy,single-player video game,
Super Star Wars: The Empire Strikes Back,Q54330,platform game,Super Nintendo Entertainment System; Wii,single-player video game,
Return of the Jedi: Death Star Battle,Q54331,shoot 'em up,Atari 2600; Atari 5200; ZX Spectrum,single-player video game,
Star Wars: Return of the Jedi,Q54334,shoot 'em up; shooter game; racing video game,BBC Micro; DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST; arcade video game machine,single-player video game,
Super Star Wars: Return of the Jedi,Q54335,platform game,Game Boy; Super Nintendo Entertainment System; Wii; Game Gear,single-player video game,
Star Wars: Episode I – The Phantom Menace,Q54338,action-adventure game; space opera video game,Microsoft Windows; PlayStation,single-player video game,computer keyboard
Star Wars Episode I: Jedi Power Battles,Q54839,action-adventure game,Dreamcast; Game Boy Advance; PlayStation,co-op mode; single-player video game; multiplayer video game,
Star Wars Episode I: Battle for Naboo,Q54840,action game,Microsoft Windows; Nintendo 64,single-player video game,gamepad
Star Wars Episode I: Obi-Wan's Adventures,Q54842,action-adventure game,Game Boy Color,single-player video game,
Star Wars: Obi-Wan,Q54843,action-adventure game,Xbox,single-player video game; multiplayer video game,
Star Wars: Episode II – Attack of the Clones,Q54844,action game; space opera video game,Game Boy Advance,single-player video game,
Star Wars: The New Droid Army,Q54845,action game,Game Boy Advance,single-player video game; multiplayer video game,
Star Wars: Episode III – Revenge of the Sith,Q54846,action-adventure game; space opera video game,PlayStation 2; Nintendo DS; Game Boy Advance; Xbox,single-player video game; multiplayer video game,
Star Wars: The Clone Wars – Lightsaber Duels,Q54847,adventure game,Wii,single-player video game,Wii Remote
Star Wars: The Clone Wars – Jedi Alliance,Q54848,adventure game,Nintendo DS,,touchscreen
Star Wars: The Clone Wars – Republic Heroes,Q54850,action-adventure game,Wii; Xbox 360; Microsoft Windows; PlayStation 2; PlayStation Portable; PlayStation 3; Nintendo DS,single-player video game; multiplayer video game,gamepad
Clone Wars Adventures,Q54851,massively multiplayer online game; adventure game,Microsoft Windows,multiplayer video game,computer keyboard
Star Wars: X-Wing,Q54853,space combat simulation game,Microsoft Windows; IBM PC compatible; Mac; macOS,single-player video game,computer keyboard; joystick
Angry Birds Star Wars,Q54854,puzzle video game; crossover fiction,PlayStation Vita; BlackBerry 10; Nintendo 3DS; Wii; Android; Xbox 360; Microsoft Windows; Xbox One; iOS; Windows Phone; PlayStation 4; PlayStation 3; Wii U; macOS,,touchscreen
Star Wars Trilogy: Apprentice of the Force,Q54856,action game; platform game,Game Boy Advance,single-player video game,
Star Wars: Battlefront,Q54859,third-person shooter; first-person shooter,Microsoft Windows; PlayStation 2; macOS; Xbox,single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Star Wars Battlefront: Renegade Squadron,Q54864,third-person shooter; first-person shooter,PlayStation Portable,single-player video game; multiplayer video game,
Star Wars: Battlefront II,Q54865,third-person shooter; first-person shooter; space opera video game,Microsoft Windows; PlayStation 2; PlayStation Portable; Xbox,single-player video game; multiplayer video game,gamepad
Star Wars Battlefront: Elite Squadron,Q54870,third-person shooter,Nintendo DS; PlayStation Portable,single-player video game; multiplayer video game,
Lego Star Wars: The Complete Saga,Q55214,action-adventure game,Wii; Android; Xbox 360; Microsoft Windows; iOS; PlayStation 3; Nintendo DS; macOS,co-op mode; single-player video game; multiplayer video game,mouse; touchscreen
Lego Star Wars: The Video Game,Q55216,action-adventure game,Xbox; Microsoft Windows; PlayStation 2; Game Boy Advance; macOS; Nintendo GameCube,co-op mode; single-player video game; multiplayer video game,gamepad
Star Wars Episode I: Racer,Q55217,racing video game,Classic Mac OS; Nintendo 64; Microsoft Windows; Dreamcast; PlayStation 4,single-player video game; multiplayer video game,
Star Wars: Bounty Hunter,Q55219,action game,PlayStation 2; PlayStation 4; Nintendo GameCube,single-player video game,gamepad
Star Wars: Racer Arcade,Q55223,racing video game,arcade video game machine,single-player video game,
Star Wars: Starfighter,Q55225,action game,Microsoft Windows; PlayStation 2; arcade video game machine; Xbox,single-player video game; multiplayer video game,
Star Wars: Super Bombad Racing,Q55227,racing video game,PlayStation 2,single-player video game; multiplayer video game,
Lego Star Wars III: The Clone Wars,Q55228,action-adventure game; platform game,Nintendo 3DS; Wii; Xbox 360; Microsoft Windows; PlayStation Portable; PlayStation 3; Nintendo DS; macOS,co-op mode; single-player video game; multiplayer video game,gamepad
Star Wars: Jedi Starfighter,Q55229,action game,PlayStation 2; PlayStation 3; PlayStation 4; Xbox,co-op mode; single-player video game,
Star Wars: The Clone Wars,Q55232,action game,PlayStation 2; Xbox; Nintendo GameCube,single-player video game; multiplayer video game,
Star Wars: Republic Commando: Order 66,Q55237,strategy video game,mobile phone,single-player video game,
Lego Star Wars II: The Original Trilogy,Q55239,action-adventure game; platform game,Xbox; Xbox 360; Microsoft Windows; PlayStation 2; PlayStation Portable; Game Boy Advance; Nintendo DS; macOS; Nintendo GameCube,co-op mode; single-player video game,Nintendo GameCube controller; Xbox 360 controller; DualShock 2; Xbox controller
Lego Star Wars II Mobile,Q55246,action-adventure game; puzzle video game,mobile phone,single-player video game,
Star Wars Trilogy Arcade,Q55248,shoot 'em up,arcade video game machine,single-player video game,
Star Wars: Behind the Magic,Q55251,behind-the-scenes,Microsoft Windows,single-player video game,
Star Wars: Flight of the Falcon,Q55253,shooter game,Game Boy Advance,single-player video game,
Star Wars: Force Commander,Q55254,real-time strategy,Microsoft Windows,single-player video game; multiplayer video game,
Star Wars: Masters of Teräs Käsi,Q55257,fighting game,PlayStation,single-player video game; multiplayer video game,
Star Wars: Rebel Assault,Q55259,shoot 'em up,Classic Mac OS; Sega CD; Microsoft Windows; IBM PC compatible; 3DO Interactive Multiplayer,single-player video game,mouse
Star Wars: Shadows of the Empire,Q55263,action game,Microsoft Windows; Nintendo 64,single-player video game,
Star Wars: Yoda Stories,Q55265,adventure game,Microsoft Windows,single-player video game,
Star Wars Galaxies,Q55272,science fiction video game; massively multiplayer online role-playing game; role-playing video game,Microsoft Windows,multiplayer video game,mouse; computer keyboard
Star Wars: Dark Forces,Q55287,first-person shooter,Classic Mac OS; DOS; Microsoft Windows; PlayStation; macOS,single-player video game,mouse
Star Wars Jedi Knight: Dark Forces II,Q55291,first-person shooter,Microsoft Windows,single-player video game; multiplayer video game,mouse
Star Wars Jedi Knight: Jedi Academy,Q55295,first-person shooter,Classic Mac OS; Xbox; Microsoft Windows; PlayStation 4; Nintendo Switch; macOS,single-player video game; multiplayer video game,computer keyboard
Star Wars Jedi Knight II: Jedi Outcast,Q55298,third-person shooter; first-person shooter,Classic Mac OS; Xbox; macOS; Microsoft Windows; PlayStation 4; Nintendo GameCube,single-player video game; multiplayer video game,computer keyboard
Star Wars: TIE Fighter,Q55312,space combat simulation game,Microsoft Windows; DOS; Classic Mac OS,single-player video game,computer keyboard; joystick
Star Wars: X-Wing Alliance,Q55313,space combat simulation game,Microsoft Windows; IBM PC compatible,single-player video game; multiplayer video game,computer keyboard
Star Wars: X-Wing vs. TIE Fighter,Q55314,space combat simulation game,Microsoft Windows; IBM PC compatible; Mac,co-op mode; single-player video game; multiplayer video game,
Star Wars: Empire at War,Q55315,real-time strategy,Microsoft Windows; macOS,single-player video game; multiplayer video game,mouse; computer keyboard
1942,Q55532,shoot 'em up,Amstrad CPC; ZX Spectrum; iOS; Commodore 64; Nintendo Entertainment System; arcade video game machine; MSX,single-player video game,touchscreen
Saboteur II: Avenging Angel,Q55533,action-adventure game; platform game,DOS; Microsoft Windows; Amstrad CPC; ZX Spectrum; Commodore 64; Nintendo Switch,single-player video game,computer keyboard
Cyclone,Q55534,arcade-style video game,ZX Spectrum,single-player video game,computer keyboard; joystick
1943: The Battle of Midway,Q55535,shoot 'em up,TurboGrafx-16; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Nintendo Entertainment System; PlayStation 3; Atari ST,single-player video game,
10th Frame,Q55536,sports video game; bowling video game,DOS; Amstrad CPC; ZX Spectrum; Commodore 64; MSX,single-player video game,
180,Q55537,darts video game,Amstrad CPC; ZX Spectrum; MSX; Commodore 64,single-player video game; multiplayer video game,
007: Licence to Kill,Q55538,shoot 'em up,BBC Micro; DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST; MSX,single-player video game,game controller
19 Part One: Boot Camp,Q55555,military education and training,ZX Spectrum; Commodore 64,single-player video game,
3D Construction Kit,Q55561,3D computer graphics software; game creation system,DOS; Acorn Archimedes; Commodore 128; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST,,
Deathchase,Q55562,shoot 'em up; vehicular combat game,ZX Spectrum,single-player video game,computer keyboard
3D Knockout,Q55563,boxing video game,MSX,,
3-D Monster Chase,Q55565,maze video game,Amstrad CPC; ZX Spectrum,single-player video game,
3D Tanx,Q55566,shoot 'em up,BBC Micro; ZX Spectrum; Commodore 64,single-player video game,
3D Tunnel,Q55587,shoot 'em up,ZX Spectrum; Commodore 64,single-player video game,
Boulder Dash,Q55605,puzzle video game,Atari 8-bit family; Apple II series; FM-7; ColecoVision; IBM Personal Computer; Game Boy; Android; Amstrad CPC; Commodore Amiga; iOS; ZX Spectrum; Windows Phone; Commodore 64; Nintendo Entertainment System; Atari ST; MSX,single-player video game,computer keyboard; touchscreen
Bonanza Bros.,Q55607,stealth game; action game; platform game; side-scrolling video game,Wii; TurboGrafx-16; Linux; Sega Master System; Microsoft Windows; Sega Genesis; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; macOS,co-op mode; single-player video game,joystick
Atic Atac,Q55608,action-adventure game,ZX Spectrum,single-player video game,
Athena,Q55610,platform game,Nintendo Entertainment System; Amstrad CPC; ZX Spectrum; Commodore 64,single-player video game,
Army Moves,Q55611,action game; scrolling shooter,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST; MSX,single-player video game,
Battlezone,Q55616,vehicular combat game; simulation video game,Atari 2600; DOS; Commodore VIC-20; ZX Spectrum; PlayStation Portable; Commodore 64; Atari ST,single-player video game,joystick
Bionic Commando,Q55620,platform game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Nintendo Entertainment System; Atari ST,single-player video game; multiplayer video game,
Bionic Commando,Q55622,Metroidvania,Nintendo Entertainment System,single-player video game,gamepad
Nether Earth,Q55668,real-time strategy,Amstrad CPC; ZX Spectrum; Commodore 64,single-player video game,computer keyboard
Quazatron,Q55670,action game,ZX Spectrum,single-player video game,
R-Type,Q55673,science fiction video game; shoot 'em up,Java Virtual Machine; TurboGrafx-16; PC Engine SuperGrafx; Android; Sega Master System; Amstrad CPC; Commodore Amiga; iOS; ZX Spectrum; Commodore 64; Atari ST; arcade video game machine; MSX,single-player video game; multiplayer video game,joystick; touchscreen
The Trap Door,Q55675,action-adventure game,Amstrad CPC; ZX Spectrum; Commodore 64,single-player video game,computer keyboard
Sherlock,Q55676,interactive fiction,ZX Spectrum; Commodore 64,single-player video game,
Elite,Q55815,science fiction video game; space trading and combat game; space flight simulation game,BBC Micro; DOS; Apple II; SAM Coupé; Acorn Archimedes; Tatung Einstein; Amstrad CPC; ZX Spectrum; Commodore Amiga; Acorn Electron; Commodore 64; Nintendo Entertainment System; Atari ST; MSX,single-player video game,computer keyboard
Alchemist,Q55817,action-adventure game,Microsoft Windows; ZX Spectrum,single-player video game,
Syobon Action,Q56879,action-adventure game,Microsoft Windows,single-player video game,computer keyboard
Mega Man X: Command Mission,Q56939,role-playing video game,PlayStation 2; Nintendo GameCube,single-player video game,
BioShock,Q57270,science fiction video game; video game with LGBT character; first-person shooter,Xbox 360; Microsoft Windows; iOS; PlayStation 3; macOS,single-player video game,mouse; touchscreen
All or Nothing,Q57622,action-adventure game,ZX Spectrum,single-player video game,
Angler,Q57631,sports video game; fishing video game,ZX Spectrum,single-player video game,
Avalon The 3D Adventure Movie,Q57639,action game; action-adventure game,PlayStation 3; ZX Spectrum,single-player video game,
Back to Skool,Q57644,action-adventure game,ZX Spectrum,single-player video game,computer keyboard
Dumb Ways to Die,Q58120,puzzle video game,Android; iOS,,touchscreen
Mafia 2,Q59154,action-adventure game; third-person shooter,Microsoft Windows; PlayStation 3; macOS; Xbox 360,single-player video game,computer keyboard
Fallout,Q60102,role-playing video game,Microsoft Windows; DOS; macOS; Classic Mac OS,single-player video game,mouse; computer keyboard
NationStates,Q63064,government simulation game,web browser,,computer keyboard
SimIsle,Q63266,construction and management simulation,Microsoft Windows; DOS; Classic Mac OS,single-player video game,
Ingress,Q63352,location-based game; augmented reality; massively multiplayer online real-time strategy game; massively multiplayer online game,Android; iOS,multiplayer video game,touchscreen
Call of Duty: Black Ops: Declassified,Q71932,first-person shooter,PlayStation Vita,single-player video game; multiplayer video game,
Wii Sports,Q71936,sports video game,Wii,hotseat; single-player video game; multiplayer video game,Wii Remote
Himawari no Kyōkai to Nagai Natsuyasumi,Q73289,eroge; visual novel,Microsoft Windows; PlayStation 3; PlayStation Portable,,
Star Wars: Rebel Assault II: The Hidden Empire,Q74061,shoot 'em up,Classic Mac OS; IBM PC compatible; PlayStation,single-player video game,joystick
GetAmped,Q74245,action game; free-to-play; massively multiplayer online game,Microsoft Windows,multiplayer online game,computer keyboard
Indiana Jones and the Fate of Atlantis,Q74401,adventure game,Classic Mac OS; DOS; Microsoft Windows; Commodore Amiga; macOS,single-player video game,mouse
Star Wars: The Force Unleashed II,Q74539,action-adventure game,Wii; Xbox 360; Microsoft Windows; PlayStation 3; Nintendo DS,single-player video game,computer keyboard; gamepad
Lego Batman: The Videogame,Q74545,action-adventure game,Wii; Xbox 360; Microsoft Windows; PlayStation 2; PlayStation Portable; PlayStation 3; Nintendo DS,single-player video game; multiplayer video game,computer keyboard
Lego Indiana Jones: The Original Adventures,Q74630,action-adventure game,Wii; Xbox; Xbox 360; Microsoft Windows; PlayStation 2; PlayStation Portable; PlayStation 3; Nintendo DS; macOS,co-op mode; single-player video game; multiplayer video game,computer keyboard
Star Wars Knights of the Old Republic II: The Sith Lords,Q74669,space opera video game; role-playing video game,Xbox; Android; Linux; Microsoft Windows; iOS; macOS,single-player video game,computer keyboard; touchscreen
Lego Indiana Jones 2: The Adventure Continues,Q74683,action-adventure game,Wii; Xbox 360; Microsoft Windows; PlayStation 3; macOS,co-op mode; single-player video game,gamepad
Call of Duty 4: Modern Warfare,Q76255,first-person shooter,Wii; Xbox 360; Microsoft Windows; PlayStation 3; macOS,single-player video game; multiplayer video game,
CityVille 2,Q76763,construction and management simulation; casual game; simulation video game; city-building game; social network game,Facebook,single-player video game; multiplayer video game,computer keyboard
CityVille,Q76794,construction and management simulation; city-building game,Facebook,single-player video game; multiplayer video game,computer keyboard
Assassin's Creed III: Liberation,Q76868,stealth game; action-adventure game,Microsoft Windows; PlayStation Vita; PlayStation 3; Xbox 360,single-player video game; multiplayer video game,game controller
Picopict,Q77596,puzzle video game,Nintendo DSi,single-player video game,touchscreen
FishVille,Q80402,simulation video game,Facebook,single-player video game; multiplayer video game,computer keyboard
Dragon Quest III,Q81288,role-playing video game,Super Nintendo Entertainment System; Android; iOS; Nintendo Switch; Nintendo Entertainment System,single-player video game,touchscreen
Panzer Dragoon Saga,Q81777,role-playing video game,Sega Saturn,single-player video game,gamepad
Fracture,Q81841,science fiction video game; third-person shooter,PlayStation 3; Xbox 360,single-player video game; multiplayer video game,gamepad
Tales of the Abyss,Q82050,action role-playing game; role-playing video game,PlayStation 2; Nintendo 3DS,co-op mode; single-player video game; multiplayer video game,gamepad
Fantasy World Dizzy,Q83115,action-adventure game; platform game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST,single-player video game,computer keyboard
Grand Theft Auto: San Andreas,Q83265,action-adventure game; third-person shooter,Xbox; Android; Xbox 360; Microsoft Windows; PlayStation 2; iOS; Windows Phone; PlayStation 4; PlayStation 3; macOS,single-player video game; multiplayer video game,mouse; computer keyboard; gamepad; touchscreen
Family Guy: Back to the Multiverse,Q83524,action-adventure game,Microsoft Windows; PlayStation 3; Xbox 360,single-player video game; multiplayer video game,
Epic Mickey 2: The Power of Two,Q83565,post-apocalyptic video game; platform game; crossover fiction,PlayStation Vita; Wii; Xbox 360; Microsoft Windows; PlayStation 3; Wii U,single-player video game; multiplayer video game,computer keyboard; joystick
Forza Horizon,Q83843,racing video game,Xbox 360,single-player video game; multiplayer video game,gamepad
